,importance
current_roll_max_6h,6.893302e-05
torque,6.439335e-05
current_lag_1,5.7455763e-05
rpm_ewm_6h,5.5136887e-05
power_consumption_roll_min_24h,4.5393692e-05
power_consumption_roll_mean_12h,3.2460957e-05
rpm_ewm_12h,3.1554355e-05
power_consumption_roll_std_72h,2.5487561e-05
power_efficiency,2.4672307e-05
idle_duration_roll_mean_6h,1.8125536e-05
torque_ewm_6h,1.0020828e-05
rpm_lag_6,9.7146085e-06
idle_duration_ewm_12h,7.5261546e-06
idle_duration,3.9714837e-06
idle_duration_delta_1h,0.0
torque_x_rpm,0.0
load_index,0.0
power_consumption_delta_24h,0.0
maintenance_encoded_lag1,0.0
current_x_rpm,0.0
power_consumption_delta_6h,0.0
power_consumption_delta_1h,0.0
power_consumption_roll_mean_24h,0.0
power_consumption_ewm_6h,0.0
power_consumption_roll_std_6h,0.0
power_consumption_roll_std_24h,0.0
current_roll_std_6h,0.0
torque_lag_3,0.0
current_delta_6h,0.0
rpm_delta_1h,0.0
torque_lag_12,0.0
rpm_roll_std_6h,0.0
rpm_lag_1,0.0
rpm_lag_24,0.0
air_temperature_lag_24,0.0
current_lag_24,0.0
air_temperature_lag_6,0.0
idle_duration_lag_3,0.0
idle_duration_lag_6,0.0
power_consumption_lag_1,0.0
power_consumption_lag_3,0.0
power_consumption_lag_6,0.0
power_consumption_lag_12,0.0
power_consumption_lag_24,0.0
air_temperature_lag_1,0.0
process_temperature_delta_6h,0.0
power_consumption_ewm_72h,0.0
power_consumption,0.0
power_consumption_ewm_48h,0.0
torque_delta_6h,0.0
torque_delta_24h,0.0
power_consumption_ewm_24h,0.0
